101	SREF1L	In (LEM) | NC (CSM)		201	_CHASS	In	Structure Ground
102	SHIHI	In (LEM) |  NC (CSM)		202		Spare	
103	BQ	Out	Turn On Enable to Middle Read Counter Module	203	FAZ4CA	Out	
104	DADHI	In (LEM) | NC (CSM)		204		Spare	
105	DMMCA	In	CA	205	DMMCA	In	CA
106	DADLO	In (LEM) | NC (CSM)		206		Spare	
107	DAO	Out (LEM) | NC (CSM)	RR Shaft Amb. Override Signal to RR Shaft EC&L	207		Spare	
108	SREF1H	In (LEM) | NC (CSM)		208		Spare	
109	AQ	Out	Turn On Enable to Inner Read Counter Module	209		Spare	
110	DEEC	Out	Shaft Error Counter Enable to EC&L Modules	210	FAZ2DR	Out	Φ2 Drive To Mode Module
111	DRSETB	In (LEM) | NC (CSM)	RR Shaft Amb Reset B from RR Shaft Module	211		Spare	
112	+4VLO	In	+4 VDC Return	212	+4VLO	In	+4 VDC Return
113	UREF1L	In	Ref In Φ From Interrogate Module	213	TRNI2L	Out	I2 Optics Trunnion or RR to EC&L Module
114	SHI2H	In (LEM) | NC (CSM)		214	FAZ2DR/	Out	Φ2/ Drive To Mode Module
115	CQ	Out	Outer Turn On Enable to Read Counter	215	TRNI2H	Out	I2 Optics Trunnion or RR to EC&L Module
116	EEEC	Out	Trunnion Error Counter Enable to EC&L Modules	216	TRNI3L	Out	I3 Optics Trunnion or RR to EC&L Module
117	CAO	Out	Outer Ambiguity Override to EC&L Module	217	TRNI3H	Out	I3 Optics Trunnion or RR to EC&L Module
118	SHI3H	In (LEM) | NC (CSM)		218	FAZ4DR	Out	Φ4 Drive To Mode Module
119	CRSETB	In	Outer Ambiguity Reset B from Read Counter Module	219		Spare	
120	CEEC	Out	Enable Error Counter E Outer to EC&L Module	220	FAZ3DR	Out	Φ3 Drive to Mode Module
121	BAO	Out	Ambiguity Override to Middle EC&L Module	221		Spare	
122	JMPA	In (CSM) | NC (LEM)		222		Spare	
123	ISSI3H	In	I3	223		Spare	
124	+4VHI	In	+4 VDC	224	+4VHI	In	+4 VDC
125	BCDUZ	In	ISS CDU Zero Z From Mode Module	225	ISSI3L	Out	I3 ISS To EC&L Modules
126	ECA	Out	Trunnion Coarse Align Enable to EC&L Modules	226	ISSI3H	Out	I3 ISS To EC&L Modules
127	UREF1H	In	Ref In Φ from Interrogate Module	227	FAZ3HI	In	Φ3 To Interrogate Module
128	BEEC	Out	Enable Error Counter E Middle to EC&L Module	228	FAZ3LO	In	Φ3 To Interrogate Module
129	BRSETB	In	Middle Ambiguity Reset B from Read Counter Module	229		Spare	
130	DMMCA	Out	Digital Mode Coarse Align	230		Spare	
131	CADLO	In	Outer Ambiguity Detect From Coarse Module	231	SHIHI | TRNIHI	In (LEM) | In (CSM)	RR Interrogate from Interrogate Module | Optics Trunnion Interrogate from Interrogate Module
132	AEEC	Out	Enable Error Counter E Inner to EC&L Module	232	SHILO | TRNILO	In (LEM) | In (CSM)	RR Interrogate from Interrogate Module | Optics Trunnion Interrogate from Interrogate Module
133	CADHI	In	Outer Ambiguity Detect from Coarse Module	233	SHI3L	Out	I3 Optics Shaft or RR To EC&L Module
134	RRDAE	In	RR Radar or Optics D/A Enable from Mode Module	234	FAZ4LO	In	12.8k pps Φ4
135	MODCOM	In	From Mode Module	235	FAZ4HI	In	12.8k pps Φ4
136	+4VLO	In	+4 VDC Return	236	+4VLO	In	+4 VDC Return
137	BADHI	In	Middle Ambiguity Detect from Coarse Module	237	SHI3H	Out	I3 Optics Shaft or RR To EC&L Module
138	DCA	Out	Shaft Coarse Align Enable to EC&L Modules	238	FAZ1HI	Out	Φ1 To EC&L Modules
139	TRNI2H	In (LEM) | NC (CSM)		239	PS25KH	Out	P.S. 25.6k pps
140	BADLO	In	Middle Ambiguity Detect from Coarse Module	240	PS25KL	Out	P.S. 25.6k pps
141	AADLO	In	Inner Ambiguity Detect from Coarse Module	241	SHI2H	Out	I2 Optics Shaft or RR To EC&L Module
142	ISSZ	In	ISS CDU Zero from Mode Module	242	FAZ1LO	Out	Φ1 To EC&L Modules
143	SREF1H	In	R.R Shaft R1	243	FAZ2HI/	In	Φ2/
144	ISSZDR	Out	ISS CDU Zero Drive to Mode Module	244	FAZ2LO/	In	Φ2/
145	EADHI	In (LEM) | NC (CSM)	RR Trunnion Ambiguity Detect	245	SHI2L	Out	I2 Optics Shaft or RR To EC&L Module
146	TVCDCA	In	TVC Disable CA from Mode Module	246	SHILO	In	RR Optics Shaft Interrogate from Interrogate Module
147	AADHI	In	Inner Ambiguity Detect from Coarse Module	247	SHIHI	In	RR Optics Shaft Interrogate from Interrogate Module
148	+4VHI	In	+4 VDC	248	+4VHI	In	+4 VDC
149	TRNI3H	In (LEM) | NC (CSM)	I3	249		Spare	
150	JMPA	Out (CSM) | NC (LEM)		250	ISSIHI	In	ISS Interrogate from Interrogate Module
151	ISSIHI	In	ISS Interrogate from Interrogate Module	251		Spare	
152	OINHRC	Out	Inhibit Optics/RR Read Counters	252	ISSI2H	Out	I2 ISS To EC&L Modules
153	EADLO	In (LEM) | NC (CSM)	RR Trunnion Ambiguity Detect	253	ISSI2L	Out	I2 ISS To EC&L Modules
154	UINHRC	Out	Inhibit Read Counter	254		Spare	
155	ISSI2H	In	I2	255		Spare	
156	CCA	Out	Outer Coarse Align	256		Spare	
157	ACA	Out	Inner Coarse Align	257		Spare	
158	BCA	Out	Middle Coarse Align	258		Spare	
159	ISSILO	In	ISS Interrogate from Interrogate Module	259		Spare	
160	+4VLO	In	+4 VDC Return	260	+4VLO	In	+4 VDC Return
161	ARSETB	In	Inner Ambiguity Reset B from Read Counter Module	261		Spare	
162	FAZ2HI	In	Φ2	262	CCDUZ	In	
163	ERSETB	In (LEM) | NC (CSM)	RR Trunnion Ambiguity Reset B from Trunnion Read Ctr Module	263	51KPLO	In	51.2kpps from Interrogate Module
164	RRZDR	Out	CDU Zero Z Radar/Optics	264	51KPHI	In	51.2kpps from Interrogate Module
165	DCDUZ	In (LEM) | NC (CSM)	RR CDUZ	265	FAZ2HI	In	Φ2
166	RRZ	In	RR. CDU Zero or Optics from Mode Module	266	FAZ2LO	In	Φ2
167	EAO	Out (LEM) | NC (CSM)	A0 RR Trunnion Ambiguity Override to RR Trunion EC&L	267	800LHI	Out	800 PPS Φ4L
168	ISSCA	In	ISS Coarse Align Enable from Mode Module	268	FZHI	Out (LEM) | NC (CSM)	To Interrogate Module
169	FAZ2LO	In	Φ2	269		NC	UNK - NC on DMM schematic but connected in 2-wire
170	ISSEEC	In	ISS Error Counter Enable from Mode Module	270	800LLO	Out	800 PPS Φ4L
171	AAO	Out	Ambiguity Override to Inner EC&L Module	271		Spare	
